jefe_hogar,genero,edad,estudiante,estado_civli,telefono_propio,smart_phone,desde_cuando_smart,mas_un_SIM,tipo_contrato,n_recarga_mensual,gasto_mensual_tel,empresa,porque_empresa,piensa_cambiarse,investigo_competencia,es_facil_cambiarse,paga_mas_esperado,nse,pobreza,empleo,ingreso_mensual,dist
1.0,1.0,40.0,2.0,1.0,1.0,1.0,2.0,2.0,Pospago,0.0,30.0,2.0,22.0,2.0,5.0,5.0,2.0,4.0,3.0,1.0,3000.0,10101
1.0,1.0,41.0,2.0,1.0,1.0,2.0,1.0,2.0,Prepago,4.0,35.0,1.0,23.0,2.0,5.0,2.0,2.0,4.0,3.0,1.0,1200.0,10101
1.0,1.0,48.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,50.0,2.0,23.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,2800.0,10101
1.0,1.0,26.0,1.0,1.0,1.0,1.0,2.0,2.0,Pospago,0.0,55.0,1.0,21.0,2.0,5.0,2.0,2.0,4.0,3.0,1.0,900.0,10101
1.0,1.0,25.0,2.0,1.0,1.0,1.0,2.0,2.0,Prepago,3.0,40.0,1.0,23.0,1.0,2.0,3.0,2.0,5.0,3.0,1.0,850.0,10101
1.0,1.0,19.0,1.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,65.0,2.0,22.0,2.0,5.0,4.0,2.0,4.0,3.0,2.0,920.0,10101
1.0,2.0,27.0,2.0,6.0,1.0,1.0,2.0,2.0,Prepago,4.0,35.0,4.0,21.0,2.0,5.0,5.0,2.0,5.0,3.0,1.0,520.0,10101
1.0,1.0,42.0,2.0,1.0,1.0,2.0,1.0,2.0,Prepago,3.0,25.0,2.0,23.0,2.0,2.0,5.0,2.0,5.0,3.0,1.0,650.0,10101
1.0,2.0,77.0,2.0,6.0,1.0,2.0,1.0,2.0,Prepago,3.0,20.0,1.0,23.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,400.0,10101
2.0,2.0,23.0,2.0,6.0,1.0,1.0,2.0,2.0,Prepago,4.0,30.0,1.0,23.0,2.0,1.0,4.0,2.0,4.0,3.0,1.0,2800.0,10101
2.0,2.0,21.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,4.0,30.0,1.0,22.0,2.0,1.0,4.0,2.0,4.0,3.0,2.0,500.0,10101
2.0,2.0,78.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,36.0,1.0,23.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,250.0,10101
1.0,1.0,28.0,2.0,1.0,1.0,1.0,2.0,2.0,Pospago,0.0,25.0,4.0,23.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2000.0,10101
1.0,1.0,57.0,2.0,2.0,1.0,1.0,2.0,2.0,Pospago,0.0,50.0,1.0,23.0,2.0,1.0,7.0,2.0,3.0,3.0,1.0,3000.0,10101
2.0,2.0,52.0,2.0,2.0,1.0,1.0,2.0,2.0,Pospago,0.0,50.0,1.0,23.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,2700.0,10101
1.0,2.0,24.0,1.0,6.0,1.0,1.0,2.0,2.0,Pospago,0.0,40.0,4.0,23.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,700.0,10101
1.0,2.0,25.0,2.0,6.0,1.0,1.0,2.0,2.0,Pospago,0.0,50.0,4.0,23.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,3000.0,10101
1.0,2.0,30.0,2.0,6.0,1.0,1.0,2.0,2.0,Pospago,0.0,50.0,4.0,23.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,2700.0,10101
1.0,2.0,45.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,1.0,25.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,700.0,10101
2.0,2.0,25.0,1.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,25.0,3.0,23.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,0.0,10101
1.0,1.0,51.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,29.9,1.0,23.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,2829.1666666666665,10101
2.0,2.0,43.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,89.9,2.0,23.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1550.0,10101
2.0,2.0,23.0,2.0,6.0,1.0,1.0,1.0,1.0,Pospago,0.0,60.0,2.0,23.0,2.0,5.0,3.0,2.0,3.0,3.0,1.0,3829.1666666666665,10101
2.0,2.0,20.0,1.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,29.9,4.0,22.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,29.166666666666668,10101
1.0,1.0,49.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,2.0,22.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,2000.0,10101
1.0,2.0,42.0,2.0,5.0,1.0,1.0,1.0,2.0,Prepago,4.0,20.0,2.0,23.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,941.6666666666666,10101
1.0,2.0,76.0,2.0,3.0,1.0,1.0,1.0,2.0,Prepago,3.0,10.0,2.0,21.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,429.1666666666667,10101
2.0,1.0,37.0,2.0,6.0,1.0,2.0,1.0,2.0,Prepago,4.0,20.0,2.0,23.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,2829.1666666666665,10101
2.0,2.0,13.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,4.0,20.0,2.0,23.0,2.0,1.0,5.0,2.0,5.0,2.0,2.0,0.0,10101
1.0,2.0,85.0,2.0,6.0,1.0,1.0,1.0,2.0,Prepago,4.0,20.0,2.0,21.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1200.0,10101
1.0,1.0,39.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,55.0,1.0,23.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,3000.0,10101
2.0,2.0,37.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,45.0,1.0,24.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0,0.0,10101
2.0,1.0,14.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,4.0,30.0,3.0,23.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0,0.0,10101
1.0,1.0,25.0,2.0,1.0,1.0,1.0,1.0,2.0,Prepago,4.0,30.0,2.0,23.0,1.0,4.0,6.0,2.0,5.0,3.0,1.0,1216.6666666666667,10101
2.0,2.0,21.0,2.0,1.0,1.0,1.0,2.0,2.0,Prepago,4.0,20.0,4.0,22.0,2.0,1.0,4.0,2.0,5.0,3.0,1.0,600.0,10101
1.0,2.0,40.0,2.0,5.0,1.0,1.0,1.0,2.0,Pospago,0.0,25.0,4.0,22.0,2.0,1.0,7.0,2.0,3.0,3.0,1.0,2841.6666666666665,10101
2.0,1.0,22.0,1.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,69.0,3.0,23.0,2.0,1.0,7.0,2.0,3.0,3.0,2.0,29.166666666666668,10101
2.0,1.0,15.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,3.0,10.0,1.0,23.0,2.0,1.0,5.0,2.0,3.0,3.0,2.0,0.0,10101
1.0,1.0,39.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,3.0,23.0,2.0,1.0,7.0,2.0,5.0,2.0,1.0,400.0,10101
2.0,2.0,46.0,2.0,1.0,1.0,2.0,1.0,2.0,Prepago,2.0,5.0,3.0,23.0,2.0,1.0,3.0,2.0,5.0,2.0,1.0,350.0,10101
2.0,2.0,15.0,1.0,6.0,1.0,1.0,2.0,2.0,Pospago,0.0,40.0,4.0,23.0,2.0,1.0,5.0,2.0,5.0,2.0,2.0,0.0,10101
2.0,2.0,77.0,2.0,3.0,1.0,2.0,1.0,2.0,Prepago,2.0,3.0,3.0,23.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,125.0,10101
